100000 1324
92138 21928 3
92138 25035 8
92138 62405 2
21928 23324 9
62405 90121 6
92138 76599 5
90121 26937 9
23324 84314 1
25035 59654 4
25035 27513 6
62405 9607 4
84314 17121 9
23324 7277 8
25035 71894 8
59654 76984 8
92138 40948 3
92138 47033 9
90121 92422 4
9607 68119 2
25035 42988 3
9607 18044 5
25035 33091 6
76599 24525 8
21928 81192 8
42988 35926 10
23324 65584 4
23324 2479 1
35926 44073 4
92138 13155 2
25035 23353 5
26937 76753 7
92422 6952 4
92422 40927 2
92422 25709 9
17121 95903 3
81192 10358 9
59654 43998 9
84314 40166 1
24525 25537 10
13155 29707 8
40927 19024 4
92422 24544 5
76753 97418 8
26937 88159 7
68119 19471 3
65584 4614 1
97418 49014 3
62405 7779 8
92422 72402 4
95903 83005 7
6952 45333 8
76599 7857 4
29707 8038 1
59654 31098 4
24544 72706 7
31098 55397 4
19024 37899 6
26937 51639 6
40166 80497 7
62405 29390 4
84314 87928 6
26937 50548 10
25709 94535 1
10358 58365 4
10358 27836 4
19024 34286 3
76753 7881 6
97418 71568 8
7881 76989 5
7857 16606 1
6952 98083 6
76753 98612 2
92422 60062 1
94535 69551 7
60062 2297 3
71568 17640 10
18044 53859 8
55397 41163 10
81192 54508 7
33091 60430 7
21928 67974 2
29707 49185 4
84314 31048 8
71894 14917 6
84314 47062 6
27836 62598 6
60430 21009 1
4614 700 7
14917 54120 10
58365 20669 1
50548 13323 7
2479 12276 5
95903 68759 10
47033 36872 7
53859 62002 9
92422 48063 1
21009 45864 3
67974 73292 9
62002 25827 7
35926 90263 7
76599 28102 3
80497 54607 8
17640 39540 2
45864 14006 5
76753 96095 8
72706 75209 6
14006 47179 7
2479 90794 1
40948 3094 5
7779 31546 6
50548 66650 1
73292 91984 5
25035 33744 10
62598 46005 8
6952 95465 1
96095 81725 3
76984 55813 7
87928 10207 8
9607 47556 3
98083 30632 1
31546 14432 9
13323 10883 9
16606 6314 7
10358 34462 6
7277 98575 9
700 93570 8
54607 78701 7
14432 24854 5
6314 37726 9
14432 78241 6
25709 67367 7
31546 57802 3
33091 48069 10
13155 69819 4
47556 59417 4
33091 26938 9
33744 27502 2
12276 12163 1
14006 30539 7
76984 82553 6
30539 7401 9
30632 26707 5
45864 16083 7
98612 17124 3
59654 80194 10
69819 3226 5
33744 31842 1
34462 87512 10
2297 50679 1
17124 26279 6
47062 78141 9
13155 79787 9
41163 25867 10
67367 26715 3
43998 17855 9
6314 54404 2
78241 7476 2
39540 41864 2
50548 93771 6
24525 30571 6
49014 13901 6
9607 80813 4
47179 88281 1
26279 72572 8
98575 68932 8
7857 93633 6
57802 38472 9
13901 21402 10
98083 69052 7
48069 51387 10
42988 99960 3
14006 406 2
80194 59027 9
26707 10305 6
68932 31285 9
68932 63982 3
30632 25 1
2479 98338 2
71894 8238 1
71568 38091 3
30571 38918 5
17855 58783 7
95903 43447 4
91984 64404 5
81192 2707 4
7401 66678 7
51639 20939 6
33091 37101 3
58783 88660 5
45864 15870 2
21402 99868 9
90121 72924 9
25537 32646 9
99868 20477 4
98575 18966 2
31098 73988 10
2297 64534 6
7779 17929 1
17640 3014 7
81725 97558 3
29390 63507 10
73988 24064 6
92422 19975 9
90121 30712 5
84314 52734 8
13155 28919 8
99868 62565 1
94535 3886 9
67367 8190 9
46005 92856 2
69551 4833 1
26938 36786 8
92422 47805 9
8190 62577 9
20477 74627 4
58783 78951 7
17124 10786 1
99960 29064 3
69551 153 4
93570 75581 5
6952 14034 2
31842 92410 10
59027 64112 2
69551 59879 5
9607 67980 5
63507 64899 4
38472 17323 8
59879 37974 6
10305 37971 10
31285 99216 3
72572 67880 8
60430 65842 1
91984 97464 5
3226 75507 2
7476 90205 10
78141 73230 2
87512 73638 1
90794 83815 7
38472 6094 5
7857 8673 6
94535 73059 8
12163 42558 7
92422 37396 3
51639 84522 5
21402 3719 10
67974 33426 8
4614 82655 10
13323 62531 8
48063 59513 10
37101 56586 3
28102 85704 6
21009 74027 4
66678 58582 9
95465 19069 2
72924 2148 2
20477 92043 4
21928 99800 1
53859 6770 9
82655 21311 6
16083 59278 8
98338 21170 3
36872 95051 3
25537 73643 4
28102 10394 8
36872 87967 10
45864 68262 6
76989 54290 6
54404 75692 6
51387 10879 2
64899 14686 8
59027 11922 7
19069 70465 7
47556 80971 5
69819 72759 1
26715 83370 10
18966 42665 7
21170 76706 2
81725 717 6
58783 67874 10
69551 35465 4
13323 30952 4
72759 48009 9
8673 32639 1
58783 22696 4
76599 59779 3
72706 84243 6
12276 39690 6
52734 37141 6
32639 38283 8
75209 39908 2
35465 85790 6
72402 46702 1
3014 20028 9
20028 53631 6
59654 41999 2
24064 93729 1
14034 64047 1
48063 67457 8
31285 75842 5
94535 89277 4
48063 68235 7
35465 4947 9
37899 47397 2
21170 99737 4
64404 96631 4
17640 67977 7
68235 52725 4
29390 64239 9
70465 98760 7
19471 12135 2
47805 49823 7
80497 73583 7
73230 20035 4
26707 65309 10
2297 82142 8
73988 27608 10
78701 11268 4
27502 38527 9
47179 13127 5
6314 74156 6
23324 63453 8
59417 57179 8
28102 24878 3
95903 4041 5
64239 85217 3
64047 89904 8
68119 28339 9
39908 7044 8
3886 73698 1
84243 41981 3
82142 64927 1
67874 59412 5
7779 35606 9
75692 52137 9
3014 89214 9
87928 33801 3
7881 77860 10
2148 61759 1
81192 73591 9
95465 21094 2
96095 95346 1
14006 34524 4
7277 38355 7
44073 28556 2
48063 32657 1
87928 54814 6
67974 6943 7
78701 55020 5
73292 11679 5
72572 3651 1
24064 44222 1
67880 42272 2
3014 26735 5
46702 91694 3
75581 41220 8
80194 97326 9
79787 55905 6
47062 97496 7
69052 5276 9
37726 61122 9
8673 83200 5
64899 12726 10
3719 19070 6
83815 57704 7
68235 77240 9
2297 54982 6
34524 80404 1
45333 23842 10
21311 38228 10
67974 23213 4
73698 70346 7
4833 93462 6
7779 11334 8
34524 78834 7
17855 2601 4
92856 43667 6
76706 14644 3
6094 2846 9
79787 41231 2
83370 89017 2
74027 9175 5
82655 17847 3
43667 99034 7
99960 97451 3
95465 68899 8
